Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,07-12-2014,375.095001,374.835999,376.291992,373.274994
BTC,08-12-2014,361.908997,374.964996,376.028992,361.885986
BTC,09-12-2014,352.218994,361.894989,363.066986,344.950989
BTC,10-12-2014,346.36499,352.204987,352.384003,346.36499
BTC,11-12-2014,350.506012,344.339996,361.356995,338.763
BTC,12-12-2014,352.541992,350.833008,352.983002,349.290985
BTC,13-12-2014,347.376007,352.381012,352.381012,346.588013
BTC,14-12-2014,351.631989,346.72699,353.31601,345.417999
BTC,15-12-2014,345.345001,351.360992,351.815002,344.93399
BTC,16-12-2014,327.062012,345.673004,345.859009,327.062012
BTC,17-12-2014,319.776001,326.855011,333.95401,315.152008
BTC,18-12-2014,311.395996,319.785004,323.709015,304.231995
BTC,19-12-2014,317.842987,311.178986,318.53299,306.769012
BTC,20-12-2014,329.955994,317.618988,330.325012,316.044006
BTC,21-12-2014,320.842987,329.542999,329.628998,318.903015
BTC,22-12-2014,331.885986,321.067993,334.117004,320.424988
BTC,23-12-2014,334.571991,332.016998,336.286987,329.60199
BTC,24-12-2014,322.533997,334.38501,334.740997,321.356995
BTC,25-12-2014,319.007996,322.286011,322.670013,316.958008
BTC,26-12-2014,327.924011,319.152008,331.424011,316.627014
BTC,27-12-2014,315.863007,327.583008,328.911011,312.630005
BTC,28-12-2014,317.239014,316.160004,320.028015,311.078003
BTC,29-12-2014,312.670013,317.700989,320.266998,312.307007
BTC,30-12-2014,310.737,312.718994,314.80899,309.372986
BTC,31-12-2014,320.192993,310.914001,320.192993,310.210999
BTC,01-01-2015,314.248993,320.434998,320.434998,314.002991
BTC,02-01-2015,315.032013,314.07901,315.838989,313.565002
BTC,03-01-2015,281.082001,314.846008,315.149994,281.082001
BTC,04-01-2015,264.195007,281.145996,287.230011,257.612
BTC,05-01-2015,274.473999,265.084015,278.341003,265.084015
BTC,06-01-2015,286.188995,274.610992,287.553009,272.696014
BTC,07-01-2015,294.337006,286.076996,298.753998,283.07901
BTC,08-01-2015,283.348999,294.13501,294.13501,282.174988
BTC,09-01-2015,290.40799,282.382996,291.114014,280.53299
BTC,10-01-2015,274.79599,287.303009,288.127014,273.966003
BTC,11-01-2015,265.660004,274.608002,279.638,265.039001
BTC,12-01-2015,267.79599,266.145996,272.203003,265.200012
BTC,13-01-2015,225.860992,267.394012,268.277008,219.906006
BTC,14-01-2015,178.102997,223.893997,223.893997,171.509995
BTC,15-01-2015,209.843994,176.897003,229.067001,176.897003
BTC,16-01-2015,208.097,209.070007,221.591003,199.770996
BTC,17-01-2015,199.259995,207.834,211.731003,194.875
BTC,18-01-2015,210.339005,200.050003,218.695007,194.505997
BTC,19-01-2015,214.860992,211.470993,216.727997,207.317993
BTC,20-01-2015,211.315002,212.906998,215.240997,205.153
BTC,21-01-2015,226.897003,211.378006,227.787994,211.212006
BTC,22-01-2015,233.406006,227.322006,237.018997,226.434006
BTC,23-01-2015,232.878998,233.516998,234.845001,225.195999
BTC,24-01-2015,247.847,232.699997,248.210007,230.022003
BTC,25-01-2015,253.718002,247.352005,255.074005,243.889999
BTC,26-01-2015,273.472992,254.078995,309.384003,254.078995
BTC,27-01-2015,263.475006,273.166992,275.480011,250.653
BTC,28-01-2015,233.914993,263.351013,266.535004,227.046005
BTC,29-01-2015,233.513,233.348007,238.705994,220.712006
BTC,30-01-2015,226.425003,232.772003,242.850998,225.839005
BTC,31-01-2015,217.464005,226.440994,233.503998,216.309006
BTC,01-02-2015,226.972,216.867004,231.574005,212.014999
BTC,02-02-2015,238.229004,226.490997,242.175003,222.658997
BTC,03-02-2015,227.268005,237.453995,245.957001,224.483002
BTC,04-02-2015,226.852997,227.511002,230.057999,221.113007
BTC,05-02-2015,217.110992,227.664993,239.404999,214.725006
BTC,06-02-2015,222.266006,216.923004,230.509995,216.231995
BTC,07-02-2015,227.753998,222.632996,230.298996,222.606995
BTC,08-02-2015,223.412003,227.692993,229.438004,221.076996
BTC,09-02-2015,220.110001,223.389008,223.977005,217.018997
BTC,10-02-2015,219.839005,220.281998,221.807007,215.332001
BTC,11-02-2015,219.184998,219.731995,223.406006,218.074005
BTC,12-02-2015,221.764008,219.207993,222.199005,217.613998
BTC,13-02-2015,235.427002,221.968994,240.259003,221.261993
BTC,14-02-2015,257.321014,235.528,259.808014,235.528
BTC,15-02-2015,234.824997,257.506989,265.610992,227.684006
BTC,16-02-2015,233.843002,234.824997,239.520996,229.022003
BTC,17-02-2015,243.610001,233.421997,245.774994,232.313995
BTC,18-02-2015,236.326004,243.779999,244.251007,232.339996
BTC,19-02-2015,240.283005,236.410004,242.671997,235.591995
BTC,20-02-2015,243.779007,240.251007,247.100998,239.298996
BTC,21-02-2015,244.533997,243.751999,255.320007,243.184006
BTC,22-02-2015,235.977005,244.544006,246.391998,233.850998
BTC,23-02-2015,238.891998,235.994995,240.108994,232.421005
BTC,24-02-2015,238.735001,238.998001,239.901001,236.401993
BTC,25-02-2015,237.470001,238.889999,239.339996,235.529999
BTC,26-02-2015,236.425995,237.337006,237.710007,234.257004
BTC,27-02-2015,253.828003,236.436005,256.653015,236.436005
BTC,28-02-2015,254.263,253.520004,254.692001,249.479004
BTC,01-03-2015,260.201996,254.283005,261.660004,245.932999
BTC,02-03-2015,275.670013,260.356995,276.300995,258.312988
BTC,03-03-2015,281.701996,275.04599,285.79599,268.161011
BTC,04-03-2015,273.09201,281.98999,284.225006,268.126007
BTC,05-03-2015,276.178009,272.739014,281.666992,264.769012
BTC,06-03-2015,272.722992,275.600006,277.608002,270.015015
BTC,07-03-2015,276.260986,272.294006,277.854004,270.132996
BTC,08-03-2015,274.354004,276.433014,277.858002,272.565002
BTC,09-03-2015,289.606995,274.812012,292.700989,273.893005
BTC,10-03-2015,291.76001,289.862,300.044006,289.743011
BTC,11-03-2015,296.378998,291.524994,297.390991,290.507996
BTC,12-03-2015,294.354004,296.127014,297.088013,292.412994
BTC,13-03-2015,285.337006,294.118011,294.497986,285.337006
BTC,14-03-2015,281.88501,284.441986,286.34201,280.976013
BTC,15-03-2015,286.393005,281.424988,286.528992,280.996002
BTC,16-03-2015,290.592987,285.684998,294.112,285.684998
BTC,17-03-2015,285.505005,290.595001,292.36499,284.373993
BTC,18-03-2015,256.299011,285.066986,285.335999,249.869995
BTC,19-03-2015,260.928009,255.880005,264.243988,248.636002
BTC,20-03-2015,261.748993,260.955994,264.847992,259.161987
BTC,21-03-2015,260.024994,261.644012,262.196014,255.649994
BTC,22-03-2015,267.959991,259.916992,269.747009,259.589996
BTC,23-03-2015,266.73999,267.894989,277.296997,261.744995
BTC,24-03-2015,245.595001,266.576996,267.002991,244.154999
BTC,25-03-2015,246.197006,247.472,249.190002,236.514999
BTC,26-03-2015,248.531998,246.276001,254.354004,244.904999
BTC,27-03-2015,247.029007,248.565994,256.811005,245.212997
BTC,28-03-2015,252.798004,246.975006,254.205002,246.975006
BTC,29-03-2015,242.712997,252.740005,253.139008,240.850006
BTC,30-03-2015,247.526001,242.878998,249.242004,239.214005
BTC,31-03-2015,244.223999,247.453995,248.729996,242.738998
BTC,01-04-2015,247.272003,244.223007,247.541,241.160004
BTC,02-04-2015,253.005005,247.089005,254.460999,245.416
BTC,03-04-2015,254.322006,253.074005,256.042999,251.878998
BTC,04-04-2015,253.697006,254.291,255.257996,251.100006
BTC,05-04-2015,260.597992,253.761002,260.674988,251.942001
BTC,06-04-2015,255.492004,260.721008,261.798004,254.574997
BTC,07-04-2015,253.179993,255.274002,255.804993,252.205002
BTC,08-04-2015,245.022003,253.063995,253.847,244.214996
BTC,09-04-2015,243.675995,244.751007,246.117996,239.399994
BTC,10-04-2015,236.072006,243.694,243.694,232.770996
BTC,11-04-2015,236.552002,236.016006,239.537003,234.175003
BTC,12-04-2015,236.153,236.535004,237.727997,233.494995
BTC,13-04-2015,224.587006,235.949997,236.934998,221.996002
BTC,14-04-2015,219.158997,224.759003,224.975998,216.322998
BTC,15-04-2015,223.832993,219.072998,223.832993,218.649002
BTC,16-04-2015,228.572998,223.917007,229.671997,223.917007
BTC,17-04-2015,222.882004,228.574997,228.906006,221.942001
BTC,18-04-2015,223.356003,222.852997,224.315994,220.876007
BTC,19-04-2015,222.600006,223.455994,226.352997,222.373001
BTC,20-04-2015,224.626007,222.612,226.350998,221.977005
BTC,21-04-2015,235.268997,224.619995,235.268997,224.300995
BTC,22-04-2015,234.175995,235.602005,237.908997,233.475998
BTC,23-04-2015,236.462006,234.052994,236.475006,233.199005
BTC,24-04-2015,231.268005,235.970001,236.304993,229.932999
BTC,25-04-2015,226.389999,231.235001,232.561005,226.337006
BTC,26-04-2015,219.429993,226.410004,226.944,214.873993
BTC,27-04-2015,229.285995,219.429001,233.304993,218.022995
BTC,28-04-2015,225.854996,228.968994,229.494995,223.069
BTC,29-04-2015,225.807999,225.591003,227.039993,223.429993
BTC,30-04-2015,236.145004,225.692993,239.563004,224.992996
BTC,01-05-2015,232.078995,235.938995,238.966003,232.078995
BTC,02-05-2015,234.929993,232.341003,235.727005,232.341003
BTC,03-05-2015,240.358002,234.880005,243.240005,234.082993
BTC,04-05-2015,239.018005,240.356003,242.638,237.809998
BTC,05-05-2015,236.121002,238.852005,239.203995,232.054001
BTC,06-05-2015,229.781998,236.248993,236.453995,229.231003
BTC,07-05-2015,237.334,229.662003,239.104996,228.572998
BTC,08-05-2015,243.863007,237.203995,246.274994,236.274002
BTC,09-05-2015,241.832001,243.768997,247.804001,239.639008
BTC,10-05-2015,240.296005,241.729004,244.067993,238.848999
BTC,11-05-2015,242.158005,240.298996,244.270004,239.376007
BTC,12-05-2015,241.112,242.145004,242.880997,240.098999
BTC,13-05-2015,236.376999,241.397995,243.703995,235.044998
BTC,14-05-2015,236.929001,236.214005,237.798996,234.057007
BTC,15-05-2015,237.604996,236.955002,238.753006,236.794998
BTC,16-05-2015,236.153,237.643997,237.697006,235.294998
BTC,17-05-2015,236.802002,236.009995,238.024994,236.009995
BTC,18-05-2015,233.128006,236.886993,237.210007,232.460007
BTC,19-05-2015,231.947006,233.037003,234.151001,231.817001
BTC,20-05-2015,234.018005,231.889999,234.682999,231.841995
BTC,21-05-2015,235.343994,234.016006,236.242004,233.835007
BTC,22-05-2015,240.348007,235.320999,240.968994,235.059998
BTC,23-05-2015,238.871994,240.285995,241.024994,238.690994
BTC,24-05-2015,240.953003,238.975998,241.977997,238.811005
BTC,25-05-2015,237.110001,240.927002,241.020996,236.636993
BTC,26-05-2015,237.115997,237.104004,238.242004,235.692001
BTC,27-05-2015,237.283005,237.065002,238.636002,236.695007
BTC,28-05-2015,237.408005,237.257004,237.824005,236.651993
BTC,29-05-2015,237.095993,237.376999,237.522003,235.731003
BTC,30-05-2015,233.345001,237.091995,237.093002,232.046005
BTC,31-05-2015,230.190002,233.134995,233.251999,229.542007
BTC,01-06-2015,222.925995,230.233002,231.712997,221.296005
BTC,02-06-2015,225.802994,222.893997,226.416,222.419006
BTC,03-06-2015,225.873993,225.735992,227.404007,223.929993
BTC,04-06-2015,224.324005,225.772003,226.580994,224.054001
BTC,05-06-2015,224.951996,224.154007,225.968002,223.179001
BTC,06-06-2015,225.619003,225.005005,225.718994,224.378998
BTC,07-06-2015,222.880997,225.595993,226.194,222.651993
BTC,08-06-2015,228.488998,222.878998,229.464005,222.839005
BTC,09-06-2015,229.048004,228.537994,230.953995,227.929001
BTC,10-06-2015,228.802994,228.994995,229.781998,228.009995
BTC,11-06-2015,229.705002,228.854996,230.287003,228.766998
BTC,12-06-2015,229.981995,229.705002,231.057007,229.313004
BTC,13-06-2015,232.401993,229.919998,232.651993,229.210007
BTC,14-06-2015,233.542999,232.442001,234.858002,232.003998
BTC,15-06-2015,236.822998,233.421997,237.835999,233.421997
BTC,16-06-2015,250.895004,236.764999,251.742004,236.121994
BTC,17-06-2015,249.283997,250.822998,256.852997,246.475998
BTC,18-06-2015,249.007004,249.427994,252.108002,244.126999
BTC,19-06-2015,244.606003,249.042999,250.977005,243.787003
BTC,20-06-2015,245.212006,244.529999,245.828003,240.626999
BTC,21-06-2015,243.944,245.100006,245.223999,241.882004
BTC,22-06-2015,246.990005,243.968994,247.917007,243.779007
BTC,23-06-2015,244.296005,246.927002,247.304001,243.132996
BTC,24-06-2015,240.514999,244.281998,244.341003,240.514999
BTC,25-06-2015,242.798996,240.365005,243.332001,240.365005
BTC,26-06-2015,243.593994,242.604004,243.748993,241.552994
BTC,27-06-2015,250.990005,243.548996,251.339005,243.117004
BTC,28-06-2015,249.011002,250.955002,251.171997,247.434006
BTC,29-06-2015,257.063995,248.720993,257.173004,248.580994
BTC,30-06-2015,263.071991,257.036011,267.867004,255.945999
BTC,01-07-2015,258.621002,263.345001,265.171997,255.774002
BTC,02-07-2015,255.412003,258.552002,261.631012,254.115997
BTC,03-07-2015,256.335999,255.459,257.076996,253.505005
BTC,04-07-2015,260.885986,256.490997,261.457001,254.199997
BTC,05-07-2015,271.912994,260.804993,274.506012,258.700989
BTC,06-07-2015,269.029999,271.108002,277.421997,267.600006
BTC,07-07-2015,266.207001,269.963013,271.341003,264.832001
BTC,08-07-2015,270.785004,265.981995,272.971008,264.385986
BTC,09-07-2015,269.227997,270.826996,272.334991,267.085999
BTC,10-07-2015,284.894012,269.156006,294.591003,268.802002
BTC,11-07-2015,293.11499,284.880005,298.506012,283.529999
BTC,12-07-2015,310.867004,293.140015,314.394012,292.505005
BTC,13-07-2015,292.053986,310.826996,310.947998,281.010986
BTC,14-07-2015,287.463989,292.033997,296.147003,286.638
BTC,15-07-2015,285.82901,288.045013,293.247986,285.367004
BTC,16-07-2015,278.088989,286.041992,291.183014,275.23999
BTC,17-07-2015,279.471985,278.091003,280.279999,272.042999
BTC,18-07-2015,274.901001,279.330994,282.527008,274.075012
BTC,19-07-2015,273.614014,274.766998,275.670013,272.513
BTC,20-07-2015,278.980988,273.498993,278.980988,272.959991
BTC,21-07-2015,275.833008,278.881989,280.546997,275.419006
BTC,22-07-2015,277.221985,275.657013,277.665985,274.381012
BTC,23-07-2015,276.049011,277.341003,278.110992,275.716003
BTC,24-07-2015,288.278015,276.005005,289.252991,275.253998
BTC,25-07-2015,288.696991,288.164001,290.733002,286.002014
BTC,26-07-2015,292.686005,288.640015,293.052002,287.705994
BTC,27-07-2015,293.623993,292.639008,297.773987,287.450012
BTC,28-07-2015,294.427002,293.632996,296.648987,293.423004
BTC,29-07-2015,289.589996,294.484009,294.536011,288.777008
BTC,30-07-2015,287.721985,289.102997,290.126007,286.567993
BTC,31-07-2015,284.649994,287.696014,288.959015,282.343994
BTC,01-08-2015,281.601013,284.686005,284.932007,278.112
BTC,02-08-2015,282.614014,280.449005,283.032013,277.528992
BTC,03-08-2015,281.22699,282.806,285.471008,280.233002
